accident_index,vehicle_reference,casualty_type,accident_year,accident_reference,longitude,latitude,accident_severity,number_of_casualties,date,local_authority_district,local_authority_ons_district,lsoa_of_accident_location,user_type,quarter,year_quarter
2019010156570,1,1,2019,10156570,-0.069383,51.516175,3,2,2019-01-09,5,E09000030,E01004309,Cyclist,1,2019_Q1
2019010156597,2,1,2019,10156597,0.11865,51.503971,3,1,2019-01-09,6,E09000011,E01001690,Cyclist,1,2019_Q1
2019010156602,1,0,2019,10156602,0.035422,51.402126,3,1,2019-01-09,19,E09000006,E01000648,Pedestrian,1,2019_Q1
2019010156589,1,0,2019,10156589,0.013139,51.449958,2,1,2019-01-09,7,E09000023,E01003285,Pedestrian,1,2019_Q1
2019010156585,1,0,2019,10156585,-0.159277,51.49834,3,1,2019-01-09,12,E09000020,E01002818,Pedestrian,1,2019_Q1
2019480827447,2,1,2019,480827447,-0.104506,51.514149,3,1,2019-01-10,570,E09000001,E01032740,Cyclist,1,2019_Q1
2019480821031,1,0,2019,480821031,-0.080835,51.517028,3,1,2019-01-10,570,E09000001,E01032739,Pedestrian,1,2019_Q1
2019010158987,1,0,2019,10158987,-0.194303,51.480081,2,1,2019-01-10,11,E09000013,E01001920,Pedestrian,1,2019_Q1
2019010157270,1,1,2019,10157270,-0.06114,51.514114,3,1,2019-01-10,5,E09000030,E01004304,Cyclist,1,2019_Q1
2019480843083,2,1,2019,480843083,-0.096514,51.517446,3,1,2019-01-10,570,E09000001,E01000001,Cyclist,1,2019_Q1
2019010156991,1,1,2019,10156991,-0.266705,51.464752,3,1,2019-01-10,24,E09000027,E01003807,Cyclist,1,2019_Q1
2019010156967,1,1,2019,10156967,-0.20888,51.652933,3,1,2019-01-10,30,E09000003,E01000294,Cyclist,1,2019_Q1
2019010156925,1,0,2019,10156925,-0.100255,51.370574,3,1,2019-01-10,20,E09000008,E01001043,Pedestrian,1,2019_Q1
2019010160098,1,1,2019,10160098,-0.131571,51.342803,3,1,2019-01-10,20,E09000008,E01001094,Cyclist,1,2019_Q1
2019010162548,1,0,2019,10162548,-0.16416,51.587578,2,1,2019-01-10,30,E09000003,E01000182,Pedestrian,1,2019_Q1
2019010156721,1,0,2019,10156721,-0.069305,51.396245,2,1,2019-01-10,20,E09000008,E01001191,Pedestrian,1,2019_Q1
2019010156782,2,0,2019,10156782,-0.165794,51.528352,3,1,2019-01-10,1,E09000033,E01004725,Pedestrian,1,2019_Q1
2019010156778,2,1,2019,10156778,0.029659,51.525447,2,1,2019-01-10,17,E09000025,E01003601,Cyclist,1,2019_Q1
2019010156816,1,1,2019,10156816,-0.387654,51.509606,3,1,2019-01-10,27,E09000009,E01001365,Cyclist,1,2019_Q1
2019010156776,1,1,2019,10156776,-0.173865,51.516517,2,1,2019-01-10,1,E09000033,E01033594,Cyclist,1,2019_Q1
2019010156775,2,1,2019,10156775,-0.114789,51.57051,2,1,2019-01-10,3,E09000019,E01002064,Cyclist,1,2019_Q1
2019010156770,1,0,2019,10156770,-0.36578,51.608939,3,1,2019-01-10,29,E09000015,E01002150,Pedestrian,1,2019_Q1
2019010156807,2,1,2019,10156807,-0.189052,51.510107,2,1,2019-01-10,12,E09000020,E01002827,Cyclist,1,2019_Q1
2019010156765,1,1,2019,10156765,-0.036326,51.486858,3,1,2019-01-10,7,E09000023,E01003248,Cyclist,1,2019_Q1
2019010156821,1,0,2019,10156821,-0.013811,51.340228,2,1,2019-01-10,20,E09000008,E01001080,Pedestrian,1,2019_Q1
2019010156659,2,1,2019,10156659,-0.01302,51.381087,3,1,2019-01-10,19,E09000006,E01000832,Cyclist,1,2019_Q1
2019010156790,1,0,2019,10156790,-0.02778,51.589375,3,1,2019-01-10,13,E09000031,E01004457,Pedestrian,1,2019_Q1
2019010156661,2,1,2019,10156661,0.165794,51.543075,3,1,2019-01-10,16,E09000002,E01000108,Cyclist,1,2019_Q1
2019010156781,1,0,2019,10156781,-0.175711,51.382887,3,1,2019-01-10,21,E09000029,E01004125,Pedestrian,1,2019_Q1
2019010156663,1,1,2019,10156663,-0.039262,51.529865,3,1,2019-01-10,5,E09000030,E01004230,Cyclist,1,2019_Q1
2019010156784,1,0,2019,10156784,-0.371144,51.574068,3,1,2019-01-10,29,E09000015,E01002204,Pedestrian,1,2019_Q1
2019010156676,2,1,2019,10156676,-0.17268,51.541076,3,1,2019-01-10,2,E09000007,E01000963,Cyclist,1,2019_Q1
2019010156849,1,0,2019,10156849,0.068572,51.482248,2,1,2019-01-10,6,E09000011,E01001703,Pedestrian,1,2019_Q1
2019010156859,1,0,2019,10156859,0.129922,51.568012,2,1,2019-01-10,16,E09000002,E01000112,Pedestrian,1,2019_Q1
2019010156733,1,0,2019,10156733,-0.052169,51.40946,3,1,2019-01-10,19,E09000006,E01000801,Pedestrian,1,2019_Q1
2019010156684,2,1,2019,10156684,0.096915,51.521458,3,1,2019-01-10,16,E09000002,E01000092,Cyclist,1,2019_Q1
2019010156687,1,0,2019,10156687,0.074807,51.41211,3,1,2019-01-10,19,E09000006,E01000693,Pedestrian,1,2019_Q1
2019010156785,1,0,2019,10156785,0.072717,51.490772,3,1,2019-01-10,6,E09000011,E01033731,Pedestrian,1,2019_Q1
2019010156852,1,1,2019,10156852,-0.187556,51.441722,3,1,2019-01-10,10,E09000032,E01004496,Cyclist,1,2019_Q1
2019010156670,1,0,2019,10156670,-0.166857,51.437569,3,1,2019-01-10,10,E09000032,E01004549,Pedestrian,1,2019_Q1
2019010156704,1,1,2019,10156704,-0.11475,51.521203,2,2,2019-01-10,2,E09000007,E01000920,Cyclist,1,2019_Q1
2019010156856,2,1,2019,10156856,-0.068765,51.47389,3,1,2019-01-10,8,E09000028,E01004010,Cyclist,1,2019_Q1
2019010157786,1,0,2019,10157786,-0.236235,51.404029,3,1,2019-01-11,22,E09000024,E01003447,Pedestrian,1,2019_Q1
